OBJECTID,MISCTYPE,COMMENTS,SHAPE_STArea__,SHAPE_STLength__,OBJECTID_1,SHAPE__Area,SHAPE__Length
8694,Deck_Porch_Patio,none,,,8694,32.83984375,22.9624680809565
8695,Deck_Porch_Patio,none,,,8695,38.0546875,25.8890239779117
8696,Deck_Porch_Patio,none,,,8696,35.265625,24.3615886275637
8697,Deck_Porch_Patio,none,,,8697,155.4296875,61.6366867733399
8698,Deck_Porch_Patio,none,,,8698,10.3203125,14.0876602565768
8699,Deck_Porch_Patio,none,,,8699,35.5625,25.7259104664641
8700,Deck_Porch_Patio,none,,,8700,32.1875,23.6073655175075
8701,Deck_Porch_Patio,none,,,8701,26.1484375,39.3882498984695
8702,Deck_Porch_Patio,none,,,8702,29.12890625,21.8687067096115
8703,Deck_Porch_Patio,none,,,8703,18.65234375,18.7642100664755
8704,Deck_Porch_Patio,none,,,8704,34.33984375,25.1781163246098
8705,Deck_Porch_Patio,none,,,8705,24.0546875,19.6719432880247
8706,Deck_Porch_Patio,none,,,8706,16.6015625,16.8328476533699
8707,Deck_Porch_Patio,none,,,8707,48.9453125,29.2800817356077
8708,Deck_Porch_Patio,none,,,8708,72.16015625,37.0834366850747
8709,Deck_Porch_Patio,none,,,8709,657.37890625,249.894106872444
8710,Deck_Porch_Patio,none,,,8710,37.1171875,24.9616081027733
8711,Deck_Porch_Patio,none,,,8711,95.46484375,63.3809958136915
8712,Deck_Porch_Patio,none,,,8712,4.3359375,11.6017361506332
8713,Deck_Porch_Patio,none,,,8713,9.6796875,14.135684864987
8714,Deck_Porch_Patio,none,,,8714,21.25390625,18.5072875480803
8715,Deck_Porch_Patio,none,,,8715,84.07421875,36.6893877068607
8716,Deck_Porch_Patio,none,,,8716,18.56640625,18.4959354089926
8717,Deck_Porch_Patio,none,,,8717,35.79296875,25.8572879066201
8718,Deck_Porch_Patio,none,,,8718,36.3515625,27.3619288605979
8719,Deck_Porch_Patio,none,,,8719,21.30078125,18.570196145827
8720,Deck_Porch_Patio,none,,,8720,13.4921875,16.2704979186135
8721,Deck_Porch_Patio,none,,,8721,5.828125,12.6094293847817
8722,Deck_Porch_Patio,none,,,8722,72.49609375,36.132365079835
8723,Deck_Porch_Patio,none,,,8723,27.92578125,22.4428068552342
8724,Deck_Porch_Patio,none,,,8724,34.76953125,24.3994171869992
8725,Deck_Porch_Patio,none,,,8725,46.14453125,32.3193320482449
8726,Deck_Porch_Patio,none,,,8726,102.51171875,56.0194142199751
8727,Deck_Porch_Patio,none,,,8727,55.7890625,31.2589746617738
8728,Deck_Porch_Patio,none,,,8728,19.24609375,18.4324515946858
8729,Deck_Porch_Patio,none,,,8729,36.6796875,24.5545926840034
8730,Deck_Porch_Patio,none,,,8730,21.0390625,18.6978767845283
8731,Deck_Porch_Patio,none,,,8731,4.45703125,11.9445773404013
8732,Deck_Porch_Patio,none,,,8732,24.1328125,24.1342056477945
8733,Deck_Porch_Patio,none,,,8733,51.26171875,31.7851016210637
8734,Deck_Porch_Patio,none,,,8734,76.11328125,41.7803889887466
8735,Deck_Porch_Patio,none,,,8735,8.2265625,14.0222097806468
8736,Deck_Porch_Patio,none,,,8736,45.9140625,36.5260314414762
8737,Deck_Porch_Patio,none,,,8737,49.703125,28.463274653839
8738,Deck_Porch_Patio,none,,,8738,35.2890625,30.2812128142112
8739,Deck_Porch_Patio,none,,,8739,19.8046875,18.108649436758
8740,Deck_Porch_Patio,none,,,8740,57.2265625,38.3889286227319
8741,Deck_Porch_Patio,none,,,8741,20.15625,18.6744142932172
8742,Deck_Porch_Patio,none,,,8742,24.81640625,20.4754356583726
8743,Deck_Porch_Patio,none,,,8743,180.26171875,134.781947291551
8744,Deck_Porch_Patio,none,,,8744,54.16796875,29.4402482958011
8745,Deck_Porch_Patio,none,,,8745,26.8515625,21.1445614188788
8746,Deck_Porch_Patio,none,,,8746,31.34375,28.4932851588434
8747,Deck_Porch_Patio,none,,,8747,12.375,14.6305016121462
8748,Deck_Porch_Patio,none,,,8748,31.60546875,22.4899720065658
8749,Deck_Porch_Patio,none,,,8749,31.0546875,23.1991140936337
8750,Deck_Porch_Patio,none,,,8750,53.4609375,29.334692382604
8751,Deck_Porch_Patio,none,,,8751,43.61328125,26.4107140228727
8752,Deck_Porch_Patio,none,,,8752,45.9609375,35.9157554043565
8753,Deck_Porch_Patio,none,,,8753,31.75,22.5899233015479
8754,Deck_Porch_Patio,none,,,8754,95.18359375,74.7926630779365
8755,Deck_Porch_Patio,none,,,8755,13.79296875,18.4547363342772
8756,Deck_Porch_Patio,none,,,8756,39.42578125,25.1576467837423
8757,Deck_Porch_Patio,none,,,8757,21.41796875,20.684500443862
8758,Deck_Porch_Patio,none,,,8758,41.7265625,27.996116365561
8759,Deck_Porch_Patio,none,,,8759,99.73046875,76.4962281884954
8760,Deck_Porch_Patio,none,,,8760,45.546875,28.8283835892796
8761,Deck_Porch_Patio,none,,,8761,148.609375,73.0076477864444
8762,Deck_Porch_Patio,none,,,8762,5.109375,10.2246345326246
8763,Deck_Porch_Patio,none,,,8763,73.921875,45.3953040271846
8764,Deck_Porch_Patio,none,,,8764,27.94921875,22.8016940400722
